"Num_Clones" "Count" "Filename" "lib"
"378" 102 1 "11B" "lib1"
"379" 112 1 "11B" "lib1"
"380" 124 1 "11B" "lib1"
"381" 134 1 "11B" "lib1"
"382" 141 1 "11B" "lib1"
"383" 145 1 "11B" "lib1"
"384" 1 987606 "11G" "lib2"
"385" 2 330250 "11G" "lib2"
"386" 3 177012 "11G" "lib2"
"387" 4 81154 "11G" "lib2"
"388" 5 33740 "11G" "lib2"
"389" 6 13099 "11G" "lib2"
"390" 7 4906 "11G" "lib2"
"391" 8 1995 "11G" "lib2"
"392" 9 893 "11G" "lib2"
"393" 10 489 "11G" "lib2"
"394" 11 281 "11G" "lib2"
"395" 12 182 "11G" "lib2"
"396" 13 151 "11G" "lib2"
"397" 14 114 "11G" "lib2"
"398" 15 85 "11G" "lib2"
"399" 16 81 "11G" "lib2"
"400" 17 52 "11G" "lib2"
"401" 18 50 "11G" "lib2"
"402" 19 39 "11G" "lib2"
"403" 20 33 "11G" "lib2"
"404" 21 32 "11G" "lib2"
"405" 22 25 "11G" "lib2"
"406" 23 18 "11G" "lib2"
"407" 24 20 "11G" "lib2"
"408" 25 12 "11G" "lib2"
"409" 26 18 "11G" "lib2"
"410" 27 10 "11G" "lib2"
"411" 28 19 "11G" "lib2"
"412" 29 5 "11G" "lib2"
"413" 30 7 "11G" "lib2"
"414" 31 10 "11G" "lib2"
"415" 32 6 "11G" "lib2"
"416" 33 6 "11G" "lib2"
"417" 34 2 "11G" "lib2"
"418" 35 3 "11G" "lib2"
"419" 36 4 "11G" "lib2"
"420" 37 2 "11G" "lib2"
"421" 38 2 "11G" "lib2"
"422" 39 4 "11G" "lib2"
"423" 40 1 "11G" "lib2"
"424" 41 4 "11G" "lib2"
"425" 43 8 "11G" "lib2"
"426" 47 4 "11G" "lib2"
"427" 48 1 "11G" "lib2"
"428" 49 2 "11G" "lib2"
"429" 50 1 "11G" "lib2"
"430" 54 2 "11G" "lib2"
"431" 55 2 "11G" "lib2"
"432" 57 1 "11G" "lib2"
"433" 58 3 "11G" "lib2"
"434" 59 1 "11G" "lib2"
"435" 69 1 "11G" "lib2"
"436" 71 1 "11G" "lib2"
"437" 72 1 "11G" "lib2"
"438" 1 2530148 "11R" "lib1"
"439" 2 498572 "11R" "lib1"
"440" 3 231672 "11R" "lib1"
"441" 4 99020 "11R" "lib1"
"442" 5 39927 "11R" "lib1"
"443" 6 15872 "11R" "lib1"
"444" 7 6394 "11R" "lib1"
"445" 8 2701 "11R" "lib1"
"446" 9 1328 "11R" "lib1"
"447" 10 812 "11R" "lib1"
"448" 11 421 "11R" "lib1"
"449" 12 296 "11R" "lib1"
"450" 13 247 "11R" "lib1"
"451" 14 196 "11R" "lib1"
"452" 15 167 "11R" "lib1"
"453" 16 139 "11R" "lib1"
"454" 17 100 "11R" "lib1"
"455" 18 85 "11R" "lib1"
"456" 19 70 "11R" "lib1"
"457" 20 72 "11R" "lib1"
"458" 21 64 "11R" "lib1"
"459" 22 58 "11R" "lib1"
"460" 23 61 "11R" "lib1"
"461" 24 31 "11R" "lib1"
"462" 25 35 "11R" "lib1"
"463" 26 44 "11R" "lib1"
"464" 27 20 "11R" "lib1"
"465" 28 33 "11R" "lib1"
"466" 29 18 "11R" "lib1"
"467" 30 19 "11R" "lib1"
"468" 31 17 "11R" "lib1"
"469" 32 20 "11R" "lib1"
"470" 33 10 "11R" "lib1"
"471" 34 17 "11R" "lib1"
"472" 35 9 "11R" "lib1"
"473" 36 13 "11R" "lib1"
"474" 37 12 "11R" "lib1"
"475" 38 10 "11R" "lib1"
"476" 39 9 "11R" "lib1"
"477" 40 5 "11R" "lib1"
"478" 41 11 "11R" "lib1"
"479" 42 3 "11R" "lib1"
"480" 43 5 "11R" "lib1"
"481" 44 8 "11R" "lib1"
"482" 45 3 "11R" "lib1"
"483" 46 5 "11R" "lib1"
"484" 47 5 "11R" "lib1"
"485" 48 6 "11R" "lib1"
"486" 49 5 "11R" "lib1"
"487" 50 2 "11R" "lib1"
"488" 51 1 "11R" "lib1"
"489" 52 5 "11R" "lib1"
"490" 53 2 "11R" "lib1"
"491" 54 2 "11R" "lib1"
"492" 55 4 "11R" "lib1"
"493" 56 6 "11R" "lib1"
"494" 57 1 "11R" "lib1"
"495" 58 2 "11R" "lib1"
"496" 59 3 "11R" "lib1"
"497" 60 1 "11R" "lib1"
"498" 61 2 "11R" "lib1"
"499" 62 2 "11R" "lib1"
"500" 63 2 "11R" "lib1"
"501" 64 2 "11R" "lib1"
"502" 65 1 "11R" "lib1"
"503" 67 3 "11R" "lib1"
"504" 68 2 "11R" "lib1"
"505" 70 2 "11R" "lib1"
"506" 74 1 "11R" "lib1"
"507" 78 1 "11R" "lib1"
"508" 80 1 "11R" "lib1"
"509" 83 1 "11R" "lib1"
"510" 87 1 "11R" "lib1"
"511" 95 1 "11R" "lib1"
"512" 103 1 "11R" "lib1"
"513" 105 1 "11R" "lib1"
"514" 114 1 "11R" "lib1"
"515" 115 1 "11R" "lib1"
"516" 158 1 "11R" "lib1"
"517" 1 2079264 "11Y" "lib2"
"518" 2 665398 "11Y" "lib2"
"519" 3 360834 "11Y" "lib2"
"520" 4 171128 "11Y" "lib2"
"521" 5 75117 "11Y" "lib2"
"522" 6 31840 "11Y" "lib2"
"523" 7 13519 "11Y" "lib2"
"524" 8 6010 "11Y" "lib2"
"525" 9 2940 "11Y" "lib2"
"526" 10 1551 "11Y" "lib2"
"527" 11 932 "11Y" "lib2"
"528" 12 577 "11Y" "lib2"
"529" 13 422 "11Y" "lib2"
"530" 14 307 "11Y" "lib2"
"531" 15 255 "11Y" "lib2"
"532" 16 224 "11Y" "lib2"
"533" 17 184 "11Y" "lib2"
"534" 18 203 "11Y" "lib2"
"535" 19 144 "11Y" "lib2"
"536" 20 117 "11Y" "lib2"
"537" 21 98 "11Y" "lib2"
"538" 22 110 "11Y" "lib2"
"539" 23 95 "11Y" "lib2"
"540" 24 75 "11Y" "lib2"
"541" 25 86 "11Y" "lib2"
"542" 26 87 "11Y" "lib2"
"543" 27 49 "11Y" "lib2"
"544" 28 60 "11Y" "lib2"
"545" 29 54 "11Y" "lib2"
"546" 30 51 "11Y" "lib2"
"547" 31 37 "11Y" "lib2"
"548" 32 40 "11Y" "lib2"
"549" 33 44 "11Y" "lib2"
"550" 34 37 "11Y" "lib2"
"551" 35 37 "11Y" "lib2"
"552" 36 20 "11Y" "lib2"
"553" 37 24 "11Y" "lib2"
"554" 38 26 "11Y" "lib2"
"555" 39 25 "11Y" "lib2"
"556" 40 30 "11Y" "lib2"
"557" 41 24 "11Y" "lib2"
"558" 42 18 "11Y" "lib2"
"559" 43 20 "11Y" "lib2"
"560" 44 13 "11Y" "lib2"
"561" 45 24 "11Y" "lib2"
"562" 46 26 "11Y" "lib2"
"563" 47 19 "11Y" "lib2"
"564" 48 14 "11Y" "lib2"
"565" 49 15 "11Y" "lib2"
"566" 50 23 "11Y" "lib2"
"567" 51 10 "11Y" "lib2"
"568" 52 13 "11Y" "lib2"
"569" 53 6 "11Y" "lib2"
"570" 54 14 "11Y" "lib2"
"571" 55 7 "11Y" "lib2"
"572" 56 6 "11Y" "lib2"
"573" 57 9 "11Y" "lib2"
"574" 58 6 "11Y" "lib2"
"575" 59 6 "11Y" "lib2"
"576" 60 6 "11Y" "lib2"
